sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Kettunen;Anne;5034;01 Helsinki;KESK;0.000490918544487348;0.00904974206033333;0.176450999370821;0.0715558773262777;0.00359640187806087;0.00041743762327951;0.0310905486278877;0.00447442518244627;0.0127968169066081;0.0815568704709631;0.0255320835372249;0.00308941707061337;0.00283531970224939;0.00758541225308987;0.569477729445658;vihr;0
Kettunen;Jonas;4925;12 Oulu;SKP;0.0474579847551106;0.0021952926660104;0.0143300932910268;0.000136044346249367;0.00977318366547271;0.00163407045960998;0.00437876585369978;0.00108881012284523;0.00668777813825093;0.0134166717965834;0.144100874572206;0.367560054140702;0.033157231134907;0.342018528651773;0.0120646164055521;skp;1
Kettunen;Tuomas;6114;12 Oulu;KESK;0.0069094274325743;0.00133078240597753;0.656885062565104;0.0255934385286437;0.00477558512200795;0.0158993157979662;0.128952444832369;0.0293205058448079;0.0141365256935082;0.00219731807028815;0.0186914962897053;0.00132290635952002;0.0107771555908809;0.0318068321816528;0.051401203284994;kesk;1
Kielosto;Samuel;4796;02 Uusimaa;M11;0.00155830469059181;0.0974992798308338;0.0123843526203912;0.413278854052701;0.00121905411788416;0.11157053736978;0.00866711328500317;0.344275099169091;0.00425417259041664;0.000663928567183675;0.000372785138096891;3.21216290242762e-05;0.000972037065006509;1.29290019311357e-05;0.0032394308720644;kok;0
Kiemunki;Iisakki;5356;06 Häme;SDP;0.000552074842649103;0.000363887087963957;0.0026350784694763;0.0042882354325175;0.00192095370791471;0.00232476123498999;0.0136804985540674;0.0114047829662338;0.00657841896658152;0.00079827113368008;0.908966434681443;0.000562831245342446;0.00144944869929597;0.0438183523134792;0.000655970664365294;sdp;1
Kiemunki;Terhi;4388;07 Pirkanmaa;PS;0.0279173651739561;0.0125713643175844;0.00549964685184171;0.000250304190964991;0.000781347457834032;0.0417434947742866;6.24743615417207e-05;0.903664364622281;0.00126640422611052;7.47478810724353e-06;0.000750575841970427;0.00189315714950991;0.00289739933318474;0.000693188290437071;1.43862038949244e-06;ps;1
Kiertokari;Vesa;4916;03 Varsinais-Suomi;KD;0.000212533421459536;0.943541479615636;0.00836711162889551;0.000435645205293915;0.000599452342817747;0.000610119642394552;0.000267172275883468;0.00162630676681308;0.00173602006983615;0.00736369565392623;0.0054602680423845;0.000857815214507201;0.000656589616374869;0.0207539038206326;0.00751188668314453;kd;1
Kiijärvi;Laura;4211;02 Uusimaa;KOK;0.000486947756508472;0.00178200517354884;0.0236173188406342;0.502401050236263;0.00150368980888851;0.00421775796440035;0.432897828813794;0.00366397927511843;0.00509878156652473;0.00361668734894659;0.000458280821443989;0.000126554038963332;0.00147651693676972;4.86095217576612e-05;0.0186039918964377;kok;1
Kiili;Kalle;4876;07 Pirkanmaa;KESK;0.025866154326986;0.0017714597842314;0.0988235368173294;0.00119069035630861;0.0116410863214466;0.00869473819738682;0.287199200641293;0.0903298521566631;0.0292701216557548;0.0016700648338567;0.25484438886723;0.0124830218037614;0.0106603207371695;0.113351401065917;0.0522039624346656;pir;0
Kiljunen;Anneli;4709;08 Kaakkois-Suomi;SDP;1.21389519118707e-05;0.0011107954507148;0.000864231927016212;0.000318212778010056;0.000570674667539049;3.32178135594697e-05;9.72645674495047e-06;0.000116417688316369;0.00157509535599452;0.0137466102386228;0.94217534073153;0.00114564049589205;0.00106298214707902;0.0364511431158941;0.000807772181174849;sdp;1
